MOVIE_TITLE,MOVIE_ID,RELEASE_DATE,RELEASE_YEAR,yt_releaseDate,yt_releaseYear,yt_likes,yt_views,yt_videoTitle,time_trailerToMovie_Days
terminator salvation,534.0,2009-05-20,2009.0,2009-06-13,2009.0,1114.0,202646.0,terminator salvation trailer 3,-24.0
the amazing spider-man,1930.0,2012-06-23,2012.0,2012-02-05,2012.0,87118.0,16926311.0,the amazing spider-man 3d - official trailer,139.0
x-men origins: wolverine,2080.0,2009-04-28,2009.0,2009-03-25,2009.0,6504.0,1330119.0,"x-men origins: wolverine trailer ""ooh! shiny."" | trailer | 20th century fox",34.0
valkyrie,2253.0,2008-12-25,2008.0,2008-11-03,2008.0,1097.0,201904.0,valkyrie theatrical trailer,52.0
armored,4597.0,2009-12-04,2009.0,2009-11-18,2009.0,1253.0,578580.0,armored - watch the new trailer! in theaters 12/4,16.0
the international,4959.0,2009-02-03,2009.0,2008-09-16,2008.0,690.0,221072.0,the international - in theaters 2/13/09,140.0
vantage point,7461.0,2008-02-01,2008.0,2008-01-22,2008.0,47.0,14700.0,watch the behind the scenes featurette for vantage point,10.0
21,8065.0,2008-03-27,2008.0,2008-01-18,2008.0,84.0,30950.0,watch this behind the scenes featurette for 21,69.0
paris,8279.0,2008-02-20,2008.0,2008-06-16,2008.0,23.0,12467.0,hancock spotted in paris!,-117.0
the spirit,8285.0,2008-12-25,2008.0,2008-09-08,2008.0,1425.0,614422.0,the spirit (2008) - official trailer #1,108.0
the happening,8645.0,2008-06-11,2008.0,2008-04-03,2008.0,4059.0,1216792.0,the happening | theatrical trailer | 20th century fox,69.0
hancock,8960.0,2008-07-01,2008.0,2008-01-04,2008.0,1023.0,256731.0,watch the trailer for hancock,179.0
what happens in vegas,9029.0,2008-05-07,2008.0,2008-02-01,2008.0,1378.0,357801.0,what happens in vegas | official trailer | 20th century fox,96.0
babylon a.d.,9381.0,2008-08-20,2008.0,2008-06-17,2008.0,911.0,284175.0,babylon a.d. | theatrical trailer | 20th century fox,64.0
prince of persia: the sands of time,9543.0,2010-05-19,2010.0,2009-11-04,2009.0,18925.0,6604868.0,prince of persia: the sands of time movie trailer,196.0
my sister's keeper,10024.0,2009-06-26,2009.0,2009-06-12,2009.0,1720.0,415055.0,my sister's keeper,14.0
the rocker,10186.0,2008-08-20,2008.0,2008-07-07,2008.0,680.0,301374.0,the rocker - theatrical trailer - in theaters 8/20/08,44.0
pineapple express,10189.0,2008-08-06,2008.0,2008-03-28,2008.0,11251.0,2512171.0,watch pineapple express trailer,131.0
toy story 3,10193.0,2010-06-16,2010.0,2010-06-14,2010.0,21028.0,14617313.0,toy story 3 mosaic,2.0
the princess and the frog,10198.0,2009-12-08,2009.0,2009-09-29,2009.0,10934.0,4473822.0,the princess and the frog - kiss the frog,70.0
the ides of march,10316.0,2011-09-24,2011.0,2011-07-26,2011.0,958.0,479851.0,the ides of march - official trailer - in theaters 10/7,60.0
our brand is crisis,10317.0,2015-09-11,2015.0,2015-09-08,2015.0,4927.0,4620543.0,our brand is crisis - official trailer [hd],3.0
bride wars,10521.0,2009-01-09,2009.0,2009-03-25,2009.0,3700.0,878673.0,bride wars | trailer | 20th century fox,-75.0
w.,10523.0,2008-10-17,2008.0,2008-09-05,2008.0,251.0,52744.0,w. (2008) - teaser trailer,42.0
sherlock holmes,10528.0,2009-12-23,2009.0,2009-06-11,2009.0,2480.0,672029.0,sherlock holmes trailer # 1,195.0
you don't mess with the zohan,10661.0,2008-06-05,2008.0,2008-05-01,2008.0,6280.0,1723005.0,"watch the ""you don't mess with the zohan"" trailer",35.0
